name,year_of_foundation,address,number_of_rooms,phone
Jardim de Alah,1964,"Rua Amalia Bernhaus, 44 - Centro - Ouro Preto/MG - CEP 35400-000",8,(31)35512089
Adega,1963,"Av. Vitorino Dias, 118, Centro - Ouro Preto/MG",6,
Alforria,1994,"Rua Treze, S/N - Campus Universitário, Morro do Cruzeiro ",8,
Aquarius,1969,"Rua Paraná, nº 26 - Centro - Ouro Preto/MG - CEP 35400-000",,
Arca de Noé,1926,"Rua Xavier da Veiga, 164, Centro",9,
Arte e Manha,1982,Casa 4/B - Campus Universitário - Morro do Cruzeiro- Ouro Preto/MG - CEP 35400-000,,
Bangalo,1976,"Rua Das Merces, 247 - Centro - Ouro Preto/MG - CEP 35400-000",5,
Bastilha,1982,Casa 2/B - Campus Universitário - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000,8,
Baviera,1958,"Rua dos Paulistas, 215 - Antonio Dias - Ouro Preto/MG - CEP 35400-000",,
Boite Casablanca,1967,"Rua Sao Jose, 216- Centro - Ouro Preto/MG - CEP 35400-000",8,
Butantan,1962,"Praça Barao do Rio Branco, 44 - Pilar - Ouro Preto/MG - CEP 35400-000",,
Canaan,1920,"Rua Xavier da Veiga, 29 - Centro - Ouro Preto/MG - CEP 35400-000",,
Casanova,1973,"Praça Barao do Rio Branco, 46  Pilar  -  Ouro Preto/MG - CEP 35400-000",11,
Cassino,1973,"Praça Juvenal Santos, 31  Pilar  -  Ouro Preto/MG - CEP 35400-000",12,
Castelo dos Nobres,1919,"Praça Bernardo Vasconcelos, 91  Antonio Dias  -  Ouro Preto/MG - CEP 35400-00",10,
Consulado,1936,"Rua das Merces, 89 - Centro - Ouro Preto/MG - CEP 35400-000",8,
Cosa Nostra,1989,"Casa 9A, Campus Universitario - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000",10,
Covil dos Gênios,1975,"Casa 3A, Campus Universitario - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000",,
Dos Deuses,1963,"Rua Bernardo Guimaraes, 11 - Rosario - Ouro Preto/MG - CEP 35400-00",10,
Espigão,1975,"Rua Senador Rocha Lagoa, 35 - Centro - Ouro Preto/MG - CEP 35400-000",4,
Formigueiro,1951,"Rua Xavier da Veiga, 178, Centro ",8,
Gaiola de Ouro,1977,"Rua Conde de Bobadela, 167 - Centro- Ouro Preto/MG - CEP 35400-000",7,
Jardim Zoológico,1958,"Rua Randolpho Bretas , 76 - Pilar - Ouro Preto/MG - CEP 35400-000",,
Maracangalha,1955,"Rua Claudio manoel, 129, Centro - Ouro Preto",8,
Marragolo,1967,"Rua Rosalino Ponciano Gomes , 2 - Centro - Ouro Preto/MG - CEP 35400-000",12,
Mixuruka,1960,"Avenida Lima Junior , 98 - Barra - Ouro Preto/MG - CEP 35400-000",,
Nau sem Rumo,1962,"Rua do Parana , 40 - Centro - Ouro Preto/MG - CEP 35400-000",9,
Necrotério,1958,"Rua do Pilar , 2 - Pilar - Ouro Preto/MG - CEP 35400-000",11,
Ninho do Amor,1957,"Rua do Parana , 24 - Centro - Ouro Preto/MG - CEP 35400-000",8,
Pasargada,1982,"Casa 2D , Campus Universitario - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000",9,
Penitenciária,1976,"Rua Tome Afonso , 220 - Agua Limpa - Ouro Preto/MG - CEP 35400-000",13,
Peripatus,1982,"Casa 3D , Campus Universitario - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000",9,
Pif-Paf,1946,"Praça Americo Lopes , 78 - Pilar - Ouro Preto/MG - CEP 35400-000",11,
Poleiro dos Anjos,1969,"Rua Santa Efigenia , 27 - Antonio Dias - Ouro Preto/MG - CEP 35400-000",9,
Pronto Socorro,1953,"Praça Juvenal Santos , 21 - Pilar - Ouro Preto/MG - CEP 35400-000",7,
Pulgatório,1969,"Rua do Parana , 54 - Centro - Ouro Preto/MG - CEP 35400-000",,
Quitandinha,1949,"Rua Teixeira Amaral , 102 - Centro - Ouro Preto/MG - CEP 35400-000",8,
Reino de Baco,1951,"Rua das Mercês, 186, Centro",9,
Saudade da Mamãe,1976,"Rua Claudio de Lima, 111 - Cabeças - Ouro Preto/MG - CEP 35400-000",7,
Senzala,1982,"Casa 3C , Campus Universitario - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000",10,
Sinagoga,1949,"Rua das Merces, 150 - Centro - Ouro Preto/MG - CEP 35400-000",9,
Tabu,1950,"Rua Direita , 166 - Centro - Ouro Preto/MG - CEP 35400-000",,
Território Xavante,1961,"Rua Conselheiro Quintiliano, 294 - Lajes - Ouro Preto/MG - CEP 35400-000",5,
Tigrada,1977,"Casa 1D , Campus Universitario - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000",9,
Unidos Por Acaso,1983,"Casa 2A , Campus Universitario - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000",,
Verdes Mares,1943,"Praça Juvenal Santos , 34 -  Pilar - Ouro Preto/MG - CEP 35400-000",9,
Vira Saia,1982,"Casa 4D , Campus Universitario - Morro do Cruzeiro - Ouro Preto/MG - CEP 35400-000",8,
Xeque-Mate,1982,"RUA TREZE, S/N - CAMPUS UNIVERSITÁRIO, Morro do Cruzeiro",7,
